0,0.929487,0.136364
1,0.935897,0.136364
8,0.942308,0.181818
17,0.948718,0.181818
41,0.942308,0.227273
51,0.948718,0.227273
65,0.948718,0.272727
127,0.942308,0.318182
130,0.948718,0.318182
166,0.948718,0.363636
173,0.948718,0.409091
196,0.955128,0.409091
278,0.955128,0.454545
284,0.961538,0.454545
318,0.955128,0.500000
333,0.961538,0.500000
335,0.961538,0.545455
364,0.967949,0.545455
369,0.961538,0.590909
392,0.967949,0.590909
395,0.935897,0.636364
397,0.948718,0.636364
436,0.903846,0.681818
482,0.903846,0.727273
493,0.910256,0.727273
556,0.929487,0.727273
566,0.929487,0.772727
650,0.935897,0.772727
677,0.942308,0.772727
775,0.910256,0.818182
787,0.916667,0.818182
811,0.929487,0.818182
1036,0.903846,0.863636
