0,0.777778,0.090909
1,0.788530,0.090909
9,0.788530,0.113636
11,0.795699,0.136364
13,0.799283,0.159091
15,0.802867,0.159091
22,0.806452,0.159091
42,0.810036,0.159091
49,0.799283,0.181818
51,0.806452,0.181818
76,0.813620,0.181818
97,0.817204,0.181818
107,0.810036,0.204545
110,0.813620,0.204545
115,0.810036,0.227273
123,0.813620,0.227273
150,0.799283,0.250000
154,0.799283,0.272727
155,0.802867,0.272727
158,0.810036,0.272727
163,0.813620,0.272727
168,0.817204,0.272727
170,0.820789,0.272727
188,0.824373,0.272727
197,0.813620,0.295455
202,0.802867,0.318182
203,0.806452,0.318182
208,0.813620,0.318182
240,0.817204,0.318182
262,0.806452,0.340909
266,0.810036,0.340909
268,0.810036,0.363636
269,0.813620,0.363636
288,0.810036,0.386364
290,0.817204,0.386364
303,0.820789,0.386364
359,0.824373,0.386364
363,0.820789,0.409091
371,0.824373,0.409091
407,0.827957,0.409091
421,0.827957,0.431818
510,0.824373,0.454545
513,0.802867,0.477273
518,0.810036,0.477273
538,0.810036,0.500000
539,0.813620,0.500000
542,0.817204,0.500000
559,0.820789,0.500000
585,0.820789,0.522727
586,0.824373,0.522727
595,0.827957,0.522727
601,0.831541,0.522727
620,0.835125,0.522727
695,0.820789,0.545455
702,0.824373,0.545455
707,0.827957,0.545455
708,0.835125,0.545455
716,0.824373,0.568182
723,0.827957,0.568182
733,0.835125,0.568182
739,0.838710,0.568182
759,0.849462,0.568182
766,0.853047,0.568182
771,0.838710,0.590909
776,0.849462,0.590909
829,0.856631,0.590909
877,0.860215,0.590909
881,0.863799,0.590909
905,0.845878,0.613636
911,0.849462,0.613636
918,0.827957,0.636364
923,0.831541,0.636364
934,0.835125,0.636364
944,0.838710,0.636364
950,0.842294,0.636364
970,0.820789,0.659091
974,0.831541,0.659091
975,0.835125,0.659091
986,0.838710,0.681818
997,0.842294,0.681818
998,0.845878,0.681818
1032,0.849462,0.681818
1047,0.853047,0.681818
1120,0.856631,0.681818
1217,0.860215,0.704545
1293,0.849462,0.727273
1296,0.853047,0.727273
1402,0.863799,0.750000
1514,0.867384,0.750000
1537,0.870968,0.750000
1599,0.860215,0.772727
1619,0.874552,0.772727
1834,0.863799,0.795455
1873,0.870968,0.795455
1879,0.874552,0.795455
1912,0.878136,0.795455
